2.90838653,0.387290942,0.181773442,0.545871332,1.88616651,0.325289332,0.309728178,0.354951303
2.9083891,0.387292473,0.181771471,0.536791382,1.88616778,0.325291896,0.309703724,0.348304005
2.73104174,0.40893655,0.163157676,0.545962028,1.86868821,0.344586835,0.306713082,0.355019136
2.730696,0.408988142,0.163018183,0.878607365,1.86869124,0.344587529,0.306661111,0.356644884
3.17005518,0.400799988,0.119391202,0.555819063,2.14589866,0.341183894,0.282762666,0.315681101
3.17005542,0.400800703,0.119378067,0.53900613,2.14589904,0.341185894,0.282712728,0.307578697
3.00601942,0.422377775,0.108969354,0.554284601,2.12315797,0.361963818,0.279672831,0.315248855
3.00590882,0.422397125,0.108919262,0.687366722,2.12304498,0.361945331,0.279702688,0.23022508
2.75407914,0.445371662,0.105091943,0.550795459,1.91649597,0.387138421,0.229613718,0.348463696
2.75407943,0.445372536,0.105068865,0.52890987,1.91649634,0.387140641,0.229532915,0.336098243
2.66650044,0.465344651,0.0993294758,0.549298629,1.8997983,0.403957319,0.227589231,0.34782041
2.66645652,0.465338323,0.0993211274,0.422154835,1.89935867,0.403927224,0.227600701,0.168688251
