3.00695116,0.389618634,0.183996675,0.526246167,2.00910805,0.327905827,0.318858154,0.342316679
3.00718948,0.389721978,0.184741699,0.53201914,2.00921303,0.327977708,0.32015851,0.344082519
2.84347527,0.411280506,0.165500952,0.525042412,2.00322396,0.347521404,0.316341842,0.341590142
2.81728507,0.415369015,0.162170269,0.714875091,2.00345673,0.347553034,0.316363297,0.353276604
3.30234302,0.403788995,0.121765594,0.53464892,2.32061461,0.34469565,0.294066625,0.303037917
3.30236135,0.403781791,0.121879129,0.53265793,2.32064122,0.344693412,0.294723251,0.302429827
3.15262329,0.425610922,0.11142111,0.532412103,2.30936925,0.366131987,0.291410475,0.302111852
3.14343393,0.427188294,0.110063302,0.629913236,2.30106046,0.364206501,0.294735939,0.256229919
2.89945704,0.449487768,0.108070955,0.527658854,2.10170349,0.391803173,0.241560442,0.333073033
2.89947892,0.449480856,0.107814396,0.520512315,2.10172996,0.391799678,0.240884184,0.328949553
2.82180584,0.469812851,0.102337284,0.526747469,2.09326763,0.409244883,0.239888705,0.332716582
2.81867984,0.468973625,0.102504898,0.466306435,2.0566196,0.405906152,0.242905574,0.218197996
