3.52805507,0.402097714,0.195002994,0.5117443,2.65782825,0.341974524,0.360185455,0.331695715
3.52913819,0.402595063,0.197083132,0.516284286,2.65818985,0.34220023,0.361936239,0.331615671
3.44094596,0.424207346,0.171503428,0.526941557,2.71586084,0.363601956,0.345667419,0.341656615
3.35996358,0.435835033,0.170310147,0.589022546,2.71487376,0.365105533,0.354922755,0.343394994
4.00082802,0.419626507,0.13172004,0.51601428,3.2410582,0.363369342,0.340817753,0.290590921
4.00092277,0.419584587,0.131960497,0.513912349,3.24115917,0.363281136,0.341042295,0.289202669
3.92992997,0.443074012,0.118395194,0.531036701,3.29274547,0.388614364,0.328685665,0.299475921
3.89220757,0.448388976,0.117946315,0.561790514,3.28120139,0.382574574,0.342959136,0.27519148
3.66646755,0.471357146,0.119390063,0.504731665,3.07663201,0.416691994,0.286481253,0.31596504
3.66656726,0.471276848,0.118531467,0.498765352,3.07670616,0.416520792,0.283655064,0.312584817
3.64369711,0.493864634,0.111254208,0.521516671,3.11362232,0.437745822,0.278707001,0.326740484
3.64148055,0.491006743,0.113260606,0.489192461,3.01633353,0.424038658,0.290767436,0.266120812
