0,0.0202031257,0.0409561318,0.0621839411,0.0838102385,0.105757524,0.127947162,0.150299427,0.172733545,0.194963776,0.217023675,0.238951949,0.260681826,0.282143569,0.303264505,0.323969062,0.3441788,0.363812442,0.382785899,0.401012305,0.418402037,0.434862746,0.450299379,0.464614204,0.477706833,0.489474245,0.499810809,0.5086083,0.515755925,0.521140339,0.524645668,0.526153521,0.525543016,0.52269079,0.517471022,0.509755445,0.499413364,0.486311672,0.470314865,0.451285056,0.429081989,0.403563055,0.374583305,0.341995463,0.305649937,0.265394837,0.221075982,0.172536918,0.119618921,0.0621610206,0
0,0.0124596881,0.0255377165,0.0394599752,0.0544331949,0.0706358955,0.0882105505,0.107257096,0.127827874,0.149767402,0.173098447,0.197808196,0.223756496,0.250753651,0.278563561,0.306907974,0.335471768,0.363909167,0.391850769,0.418911253,0.444697611,0.468817745,0.490889239,0.510548134,0.527457501,0.54131561,0.551863491,0.558891692,0.562246019,0.561832074,0.557618402,0.549638074,0.537988561,0.522829756,0.504380045,0.482910343,0.458736063,0.432207005,0.403695216,0.373580895,0.342236514,0.310009333,0.277202599,0.244055754,0.210724089,0.177258329,0.143584749,0.109486507,0.0745869782,0.0383359951,0
0,0.00561702648,0.0116087558,0.0181841905,0.0255637903,0.033983763,0.0436996841,0.0549889761,0.068151493,0.0834198775,0.10115818,0.121748009,0.145513503,0.172732381,0.203595929,0.23815861,0.27627983,0.317563533,0.361304999,0.406457501,0.451633048,0.495149774,0.535132535,0.569663127,0.596964119,0.615589106,0.62458625,0.623604255,0.612920622,0.593388428,0.566314934,0.533297963,0.496050976,0.456244798,0.415385276,0.374735314,0.335280014,0.297727052,0.262531395,0.229933496,0.200001926,0.172674029,0.1477907,0.125123433,0.104393137,0.0852810739,0.0674325734,0.050454251,0.0339052245,0.0172824792,0
1.57063608e-17,0.0166821588,0.034454792,0.0532501826,0.072991631,0.0935937417,0.114962766,0.136996999,0.159587229,0.182426396,0.205495112,0.228779643,0.252165077,0.275530453,0.298749262,0.321690006,0.344216797,0.366190014,0.387466994,0.407902767,0.427350832,0.44566396,0.462695027,0.47829788,0.492328214,0.504644468,0.515108736,0.523587677,0.529953433,0.534084534,0.535866805,0.535194244,0.53196989,0.526106658,0.51752815,0.506169419,0.491977702,0.474913094,0.454949184,0.432073622,0.406288629,0.377611447,0.346074711,0.31172675,0.274631821,0.234870247,0.192538487,0.147749117,0.100630721,0.0513277021,5.09519493e-17
9.38566223e-18,0.00999938707,0.0208413821,0.0326935219,0.0457299519,0.0601233857,0.0760362102,0.0936109513,0.11296038,0.134017402,0.156868348,0.181561628,0.208015565,0.236079772,0.26553166,0.296075582,0.327344968,0.358907727,0.390275018,0.420913291,0.450259308,0.477737635,0.502779893,0.524844897,0.543438692,0.558133445,0.568584148,0.574542208,0.575865126,0.572521687,0.564592364,0.552264874,0.535825146,0.515644168,0.492161444,0.465865905,0.437275242,0.406914639,0.375295869,0.342897598,0.31014765,0.277407801,0.244961524,0.213004941,0.181641096,0.15087755,0.120627196,0.0907121581,0.0608705837,0.0307661357,3.0447396e-17
4.05118407e-18,0.004325907,0.00907817316,0.0144047581,0.0204765217,0.0274910134,0.0356765484,0.0452962493,0.0566514746,0.0700104312,0.0857773104,0.104404116,0.126330124,0.151990468,0.181775727,0.215972612,0.254684198,0.297732295,0.344551508,0.394093657,0.444770495,0.494467772,0.540659345,0.58063203,0.611801423,0.632064392,0.64011009,0.635611798,0.619250821,0.592571115,0.557709792,0.517075818,0.473049397,0.427753179,0.382916357,0.339826323,0.299346695,0.261975628,0.227921279,0.197177791,0.169592092,0.144917297,0.122852204,0.103068335,0.0852268589,0.0689877442,0.0540132951,0.0399677557,0.026514254,0.01330996,1.31421739e-17
0,0.0232323085,0.046468376,0.0696498094,0.0927217311,0.115632353,0.13833256,0.160775515,0.182916263,0.204497426,0.225603329,0.246320482,0.266624586,0.2864889,0.305884083,0.324778002,0.343135529,0.360918308,0.378084507,0.394588535,0.410380749,0.42540712,0.439608883,0.452922152,0.465277504,0.476599532,0.486806362,0.495809133,0.503511434,0.509808699,0.514587557,0.517725129,0.519088275,0.518532778,0.515902469,0.511028287,0.503727262,0.493801423,0.481036625,0.46520128,0.446045,0.423297126,0.396665156,0.365833042,0.330459367,0.290175376,0.24458286,0.193251878,0.135718311,0.0714812169,0
0,0.0146529473,0.0296872536,0.0454001274,0.062033235,0.0797667832,0.09871719,0.118937735,0.140421558,0.16293594,0.186454714,0.210924974,0.236174942,0.262003604,0.288186686,0.314482163,0.340635265,0.366382934,0.391457792,0.415591644,0.438518601,0.459977898,0.479716508,0.497491632,0.513073157,0.526246167,0.536813568,0.544598876,0.549449195,0.551238384,0.549870373,0.545282537,0.537449027,0.526383827,0.512143335,0.494828099,0.474583342,0.451597785,0.426100229,0.398353264,0.368643466,0.3372674,0.304512776,0.270634203,0.23582315,0.200171974,0.163632256,0.125968182,0.0867063638,0.0450842198,0
0,0.00685030787,0.0140142242,0.021772258,0.0303974368,0.0401617793,0.051340552,0.0642139088,0.0790652607,0.0960750588,0.115548832,0.137781199,0.162971198,0.191241426,0.222605386,0.256932276,0.293912951,0.333032143,0.373552804,0.41451848,0.454778351,0.493037127,0.527928434,0.55810635,0.582346063,0.599642096,0.609291801,0.610953173,0.604669317,0.590856627,0.570258914,0.543874477,0.512866508,0.478468612,0.441896582,0.404275105,0.366584625,0.329629833,0.29402808,0.260213807,0.228453981,0.198869478,0.171457876,0.146114099,0.122646225,0.100784591,0.0801828432,0.0604097814,0.0409307792,0.021077042,0
0,0.0135311767,0.028481667,0.0448290275,0.0625342407,0.08154117,0.101776218,0.123148207,0.145548488,0.168674843,0.192474856,0.216896777,0.241787608,0.266980369,0.292295261,0.317541051,0.342516685,0.367013101,0.390815235,0.413704186,0.435459529,0.455861728,0.474694637,0.49174804,0.506820199,0.519720375,0.53027128,0.538311426,0.543697333,0.546305559,0.546034519,0.542806073,0.536566832,0.52728919,0.51497204,0.499641165,0.481349308,0.460175896,0.436226444,0.409631622,0.380546013,0.349146577,0.31563084,0.280214827,0.24313079,0.204624736,0.164953816,0.124383596,0.0831852556,0.0416327536,0
