3.25215087,4.06867753,3.47195745,3.75925345,3.07628138,3.65734601,3.66845166,3.47031824,4.00723286,2.84171838
3.66657785,4.0789385,3.80422073,3.91816658,3.53330366,3.86154959,3.90010914,3.80331711,3.9760021,3.54228993
3.81921303,4.05027043,3.89190407,3.91242197,3.73601507,3.8706756,3.92977683,3.89139214,3.89452263,3.68087884
3.87301528,4.02471541,3.90635475,3.88255112,3.82603709,3.84749874,3.91457945,3.90605731,3.83214823,3.69351021
3.88717713,4.00536226,3.897346,3.8529063,3.8642646,3.8220507,3.89028978,3.89717284,3.78797816,3.68854808
3.1785985,3.98066685,3.39462762,3.67652991,3.00572713,3.57618961,3.58763064,3.39302118,3.91973775,2.77089054
3.58530822,3.98991409,3.7201822,3.8313396,3.45460766,3.77538612,3.81402677,3.71929965,3.88857084,3.46041416
3.73443633,3.9614684,3.80555585,3.82578156,3.65305834,3.78462569,3.84269439,3.80505994,3.8100477,3.6021664
3.78684594,3.93635069,3.81961617,3.79728128,3.74092116,3.76298458,3.82803742,3.81933264,3.75081784,3.61906083
3.80071549,3.91741911,3.81106805,3.76923913,3.77819768,3.73931638,3.80482698,3.81090803,3.70940129,3.61682043
3.19075068,3.99298056,3.4068797,3.68877769,3.01776241,3.58839701,3.59992173,3.40527496,3.93190358,2.78228651
3.5975042,4.00200806,3.73231779,3.84327062,3.46682661,3.78725897,3.82608041,3.7314381,3.90039837,3.47187833
3.74646091,3.97343743,3.81749277,3.83755232,3.66515945,3.79634913,3.85455594,3.817,3.82175218,3.61372384
3.79873067,3.94825098,3.83142953,3.8089846,3.75288514,3.77465554,3.83980027,3.83114898,3.76244429,3.63039883
3.81250999,3.92927875,3.82281218,3.78090525,3.79005773,3.75095699,3.81653813,3.82265476,3.7209375,3.62783877
3.19486385,3.9966783,3.41093716,3.6926388,3.02189254,3.59229146,3.60388569,3.40933268,3.93548475,2.7861565
3.60138489,4.00541997,3.7360425,3.84666451,3.47081472,3.7906483,3.82963844,3.73516254,3.90351955,3.47511211
3.75006613,3.9766949,3.82092742,3.84069408,3.66890715,3.79947473,3.85783635,3.82043393,3.8247054,3.61678934
3.80212496,3.95142118,3.83467152,3.81200314,3.75642253,3.77766223,3.84291894,3.83438989,3.76535612,3.6335084
3.81575537,3.93239618,3.82593126,3.7838652,3.79343283,3.75391366,3.81956405,3.8257725,3.72386239,3.63106021
3.19728771,3.99905958,3.41336806,3.69503818,3.02430042,3.59468959,3.60630792,3.41176405,3.93782568,2.78836316
3.60377906,4.0077234,3.73840137,3.8489351,3.47323022,3.79290546,3.83195683,3.73752233,3.90573273,3.47720169
3.75238649,3.97895361,3.82320536,3.84289616,3.67126366,3.80166166,3.86007698,3.82271317,3.82687605,3.61889599
3.80438673,3.9536547,3.83689675,3.8141754,3.75872124,3.77982267,3.84511686,3.83661673,3.76751644,3.6356266
3.81797717,3.93461465,3.82812499,3.78602517,3.79568699,3.75606548,3.82173959,3.82796807,3.72602127,3.63315762
3.19870137,4.00038213,3.41477266,3.69639369,3.02571306,3.59604998,3.60769152,3.41316859,3.93911013,2.78967357
3.6051356,4.00896289,3.73971727,3.85015966,3.47461404,3.79412517,3.83322825,3.7388379,3.90688434,3.47834945
3.75366717,3.98014782,3.82444005,3.84404884,3.67258271,3.80280675,3.86126976,3.82394729,3.82797647,3.62000189
3.80560846,3.95482314,3.83807703,3.81529206,3.75998207,3.78093312,3.8462633,3.83779621,3.76860001,3.63673228
3.81915704,3.93576738,3.82927022,3.78712357,3.79690255,3.7571599,3.82285886,3.82911232,3.72710177,3.63427401
3.19962173,4.00127945,3.41569504,3.6973016,3.02662746,3.59695847,3.60860936,3.41409116,3.93999043,2.79052068
3.60604238,4.00982484,3.74060811,3.85101042,3.47553034,3.79497161,3.83410048,3.73972913,3.90770445,3.47913845
3.75454173,3.98098897,3.82529477,3.84486657,3.67347353,3.80361902,3.8621062,3.82480255,3.82877307,3.62078498
3.80645645,3.95565222,3.83890688,3.81609354,3.76084731,3.78173018,3.8470785,3.83862672,3.76938909,3.63752046
3.81998597,3.93658907,3.83008412,3.78791711,3.79774734,3.75795044,3.8236618,3.82992698,3.72788945,3.63506496
3.20023779,4.00186552,3.41630904,3.69789844,3.02724187,3.59755649,3.60921647,3.41470513,3.94056163,2.79108766
3.60663892,4.01037968,3.74118983,3.85155796,3.47613666,3.79551656,3.8346658,3.74031073,3.90822564,3.47964784
3.75510985,3.98152665,3.82584589,3.84538712,3.67405589,3.80413601,3.86264186,3.82535347,3.82927529,3.6212829
3.80700238,3.95618015,3.83943754,3.8166008,3.76140779,3.78223451,3.84759684,3.83915713,3.76988519,3.6380192
3.82051621,3.93711105,3.83060175,3.78841776,3.7982908,3.75844912,3.82417013,3.8304443,3.72838436,3.63556509
3.20067828,4.00229166,3.41674984,3.69833056,3.02767989,3.59798908,3.60965426,3.415146,3.94097852,2.7914937
3.6070706,4.01078644,3.74161274,3.85195929,3.47657374,3.7959159,3.8350786,3.74073378,3.90861,3.48002037
3.75552413,3.98192221,3.82624943,3.84577066,3.67447896,3.80451692,3.86303546,3.82575719,3.82964665,3.62164933
3.80740244,3.95656921,3.83982773,3.81697536,3.76181714,3.7826069,3.84797894,3.83954752,3.77025211,3.63838702
3.82090601,3.93749612,3.83098326,3.78878778,3.7986892,3.75881763,3.82454545,3.83082604,3.72875023,3.63593457
